Year,FieldID,irrigation_mm,cropType,ncrop,precip_mm,ETo_mm,ETr_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,geesebal_et_mm,ptjpl_et_mm,sims_et_mm,ssebop_et_mm
2022,SW1,524.066290448,Corn,1,224,1722.9,2503.2,863.6297461928931,877.1680855692529,1057.4089775199418,750.2462146482954,680.3840319071788,929.3396301667872,904.2016533720084
2022,SW2,204.21599999999998,Wheat_Corn,2,286.4,1723.3,2509.6,609.5944678515505,636.7128432369606,729.9309813227436,357.23784041196495,634.3424459618706,960.6980321888066,524.5281208129531
2022,SW3,163.06799999999998,Wheat_Corn,2,286.4,1723.3,2509.6,466.9956978244106,585.786246009498,650.4190693752838,326.1833072704606,443.22874314498415,626.4472821348015,423.6460757961187
2022,SW4,470.91599999999994,Wheat_Corn,2,244.4,1730.2,2516.5,843.42174561113,859.5375472882278,1062.4962779588925,660.1812468401881,729.6737657118955,1018.3498021303676,834.4970690015869
2022,SW5,539.242,Wheat_Corn,2,225,1723,2504,851.5522680540414,881.0695251369666,1051.05268205843,694.4983025820075,725.0061134648029,1017.7614023708652,861.3549604625811
2022,SW6,561.5939999999999,Wheat_Corn,2,231.09,1723.36,2503.94,828.1687385881086,822.0856635162269,1089.1274494029092,641.9294124231336,724.5050404706772,1029.5226279006315,815.0641304575951
2016,WC1,526.542,Corn,1,569.5,1628.7,2323,798.6785118440042,809.3652176973709,850.8291999577631,608.8414768927528,734.47366160994,980.2503678152827,857.5633240646229
2017,WC1,182.62599999999998,Wheat_Sunflowers,2,679.4,1583.5,2261.8,976.4457850832426,980.9139206645316,1115.0208299602268,811.57434092429,927.9799373482105,1151.117109570237,920.681074231812
2018,WC1,273.81199999999995,Corn,1,622.4,1590.2,2261,826.3628946534794,839.9167857519975,917.804118123262,724.0066171553274,856.0224279328428,1000.006391890465,681.2981380451233
2019,WC1,178.816,Triticale_Sunflowers,2,534.6,1463.1,2053.5,898.6826792439548,907.1357924747456,949.3388265108586,781.0292492344515,847.6987223258596,1098.562092147408,851.0794129034531
2020,WC1,360.67999999999995,Corn,1,363.5,1653.1,2379.3,800.4136285241633,769.1859139065856,874.0011896800536,687.9323431065434,832.6776811798248,1006.2143817535464,735.4265671746858
2021,WC1,513.0799999999999,Triticale_Corn,2,462.2999999999999,1618.3,2319,938.8785822392738,958.610629685685,1080.9896378163387,782.4098553377215,838.4785188835311,1139.549329485059,967.2990320650454
2022,WC1,125.476,Triticale,1,242.6,1734.5,2532.1,694.7478300658196,715.0863890746541,938.2810812713386,432.6892823202282,600.5816268346767,986.0752525430294,703.9379888071522
2016,WC10,328.67599999999993,Sunflowers_Wheat,2,563.43,1624.03,2314.48,884.1961869664391,851.7347445222936,1110.6661886753202,651.9407241197406,825.8527910484357,1209.5742211589186,906.5093579808456
2017,WC10,418.84599999999995,Corn,1,635.74,1580.37,2253.81,774.0880742397337,726.9928672793874,875.054245826244,611.701703680038,790.889212503065,1070.6505189797238,728.2963199619588
2018,WC10,246.38,Triticale_Sunflowers,2,595.64,1580.17,2245.06,844.8576056348495,785.6678083972927,1082.197598650727,723.5770370975771,820.8927862932886,1156.6102636877652,763.3176735442936
2019,WC10,354.838,Triticale_Corn,2,483.13,1462.02,2050.64,900.5199604728399,880.0889435400585,957.6606459570108,710.0360871083506,839.3946474875735,1077.739700277136,867.9592989130034
