,iteration,obj_variable,MAE,RMSE,R^2,Pearson r,Data_set,prms
10,4,Yield,2.272453950698694,3.3019329721594506,-0.5328685917826332,0.41559667915691684,with_ET_full_data,"{'SMT1': 30.13489733501603, 'SMT2': 50.0, 'SMT3': 63.62199778173012, 'SMT4': 59.98034190666753, 'CCx': 0.9448266848441488, 'WP': 30.90092150393364, 'Kcb': 1.0, 'HI0': 0.5494044162719314, 'a_HI': 9.998467269756713, 'Zmax': 2.394938101588873}"
11,4,ET,65.45427403193246,81.22939270375925,-0.9596474500156655,-0.04390968840616934,with_ET_full_data,"{'SMT1': 30.13489733501603, 'SMT2': 50.0, 'SMT3': 63.62199778173012, 'SMT4': 59.98034190666753, 'CCx': 0.9448266848441488, 'WP': 30.90092150393364, 'Kcb': 1.0, 'HI0': 0.5494044162719314, 'a_HI': 9.998467269756713, 'Zmax': 2.394938101588873}"
12,5,Irrigation,85.97125221308576,123.05797448148856,-0.2896013759910656,0.45745446395232126,with_ET_full_data,"{'SMT1': 30.01299289511008, 'SMT2': 64.22380509370389, 'SMT3': 59.72673999713532, 'SMT4': 49.15627016830439, 'CCx': 0.9739925458705544, 'WP': 31.44026558948295, 'Kcb': 1.0, 'HI0': 0.5298461621232454, 'a_HI': 4.085669512651192, 'Zmax': 2.2019646151300596}"
13,5,Yield,2.3656856690435615,3.452958436748434,-0.6762975922065011,0.34339738509714457,with_ET_full_data,"{'SMT1': 30.01299289511008, 'SMT2': 64.22380509370389, 'SMT3': 59.72673999713532, 'SMT4': 49.15627016830439, 'CCx': 0.9739925458705544, 'WP': 31.44026558948295, 'Kcb': 1.0, 'HI0': 0.5298461621232454, 'a_HI': 4.085669512651192, 'Zmax': 2.2019646151300596}"
14,5,ET,69.86078746134507,85.68406888261664,-1.1804779408058517,-0.05563732833455772,with_ET_full_data,"{'SMT1': 30.01299289511008, 'SMT2': 64.22380509370389, 'SMT3': 59.72673999713532, 'SMT4': 49.15627016830439, 'CCx': 0.9739925458705544, 'WP': 31.44026558948295, 'Kcb': 1.0, 'HI0': 0.5298461621232454, 'a_HI': 4.085669512651192, 'Zmax': 2.2019646151300596}"
15,6,Irrigation,91.40090617467953,128.38777239579824,-0.40372905881130117,0.4069645900670441,with_ET_full_data,"{'SMT1': 30.12184091071269, 'SMT2': 50.42853295461779, 'SMT3': 54.6417833946094, 'SMT4': 59.642700000151, 'CCx': 0.9798558128828094, 'WP': 30.918875295773827, 'Kcb': 1.0, 'HI0': 0.5386267580915901, 'a_HI': 3.8223689331100577, 'Zmax': 1.5364319119936682}"
16,6,Yield,2.24466563838588,3.163993235246293,-0.40747118456424314,0.4462207676797195,with_ET_full_data,"{'SMT1': 30.12184091071269, 'SMT2': 50.42853295461779, 'SMT3': 54.6417833946094, 'SMT4': 59.642700000151, 'CCx': 0.9798558128828094, 'WP': 30.918875295773827, 'Kcb': 1.0, 'HI0': 0.5386267580915901, 'a_HI': 3.8223689331100577, 'Zmax': 1.5364319119936682}"
17,6,ET,67.83072355353052,84.23018351025074,-1.1071091248874634,-0.09204919645789293,with_ET_full_data,"{'SMT1': 30.12184091071269, 'SMT2': 50.42853295461779, 'SMT3': 54.6417833946094, 'SMT4': 59.642700000151, 'CCx': 0.9798558128828094, 'WP': 30.918875295773827, 'Kcb': 1.0, 'HI0': 0.5386267580915901, 'a_HI': 3.8223689331100577, 'Zmax': 1.5364319119936682}"
18,7,Irrigation,88.95142540598894,125.83640728320512,-0.3484926506109163,0.47923409644042914,with_ET_full_data,"{'SMT1': 32.06258035309229, 'SMT2': 62.6797989806235, 'SMT3': 62.67709623338599, 'SMT4': 43.46657570330345, 'CCx': 0.9141546535047202, 'WP': 31.202812761250396, 'Kcb': 1.0000081893294952, 'HI0': 0.55, 'a_HI': 7.9927796674649825, 'Zmax': 2.100702961604437}"
19,7,Yield,2.431950239865577,3.5209318309391526,-0.7429448808093038,0.42295915399036116,with_ET_full_data,"{'SMT1': 32.06258035309229, 'SMT2': 62.6797989806235, 'SMT3': 62.67709623338599, 'SMT4': 43.46657570330345, 'CCx': 0.9141546535047202, 'WP': 31.202812761250396, 'Kcb': 1.0000081893294952, 'HI0': 0.55, 'a_HI': 7.9927796674649825, 'Zmax': 2.100702961604437}"
20,7,ET,66.79824681205473,83.82097085037836,-1.0866850640621397,-0.046294971333390625,with_ET_full_data,"{'SMT1': 32.06258035309229, 'SMT2': 62.6797989806235, 'SMT3': 62.67709623338599, 'SMT4': 43.46657570330345, 'CCx': 0.9141546535047202, 'WP': 31.202812761250396, 'Kcb': 1.0000081893294952, 'HI0': 0.55, 'a_HI': 7.9927796674649825, 'Zmax': 2.100702961604437}"
21,8,Irrigation,98.15287970534308,135.96733977680108,-0.5743640500638372,0.4020376957319318,with_ET_full_data,"{'SMT1': 32.170097207215086, 'SMT2': 58.97811101035582, 'SMT3': 51.90727920157402, 'SMT4': 37.63433353512027, 'CCx': 0.9255999401544592, 'WP': 30.73040048792627, 'Kcb': 1.0, 'HI0': 0.5484841402654042, 'a_HI': 9.99535923813009, 'Zmax': 1.764894709424715}"
22,8,Yield,2.3910851419099424,3.552902670670118,-0.7747412373319542,0.46141680390204787,with_ET_full_data,"{'SMT1': 32.170097207215086, 'SMT2': 58.97811101035582, 'SMT3': 51.90727920157402, 'SMT4': 37.63433353512027, 'CCx': 0.9255999401544592, 'WP': 30.73040048792627, 'Kcb': 1.0, 'HI0': 0.5484841402654042, 'a_HI': 9.99535923813009, 'Zmax': 1.764894709424715}"
23,8,ET,65.81326433090993,82.72845272416883,-1.0326440712323914,-0.07171328906270319,with_ET_full_data,"{'SMT1': 32.170097207215086, 'SMT2': 58.97811101035582, 'SMT3': 51.90727920157402, 'SMT4': 37.63433353512027, 'CCx': 0.9255999401544592, 'WP': 30.73040048792627, 'Kcb': 1.0, 'HI0': 0.5484841402654042, 'a_HI': 9.99535923813009, 'Zmax': 1.764894709424715}"
24,9,Irrigation,89.65630484638645,127.36728043203463,-0.3815026256045515,0.4242652807899605,with_ET_full_data,"{'SMT1': 30.0, 'SMT2': 64.89336653830155, 'SMT3': 63.19232095175953, 'SMT4': 53.20671309515734, 'CCx': 0.9104869257654914, 'WP': 34.94953639032129, 'Kcb': 1.0037261698871738, 'HI0': 0.5052664256605535, 'a_HI': 0.9059489116723816, 'Zmax': 2.1929998807981104}"
25,9,Yield,2.463043304416883,3.532349230782034,-0.7542669764792247,0.3968786649160076,with_ET_full_data,"{'SMT1': 30.0, 'SMT2': 64.89336653830155, 'SMT3': 63.19232095175953, 'SMT4': 53.20671309515734, 'CCx': 0.9104869257654914, 'WP': 34.94953639032129, 'Kcb': 1.0037261698871738, 'HI0': 0.5052664256605535, 'a_HI': 0.9059489116723816, 'Zmax': 2.1929998807981104}"
