,iteration,obj_variable,MAE,RMSE,R^2,Pearson r,Data_set,prms
18,7,Irrigation,89.1536107991974,125.88397124753604,-0.34951225661452323,0.47523060824530544,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 54.5849609445023, 'SMT3': 64.90264506287886, 'SMT4': 46.65136132971288, 'CCx': 0.9616176274134304, 'WP': 33.57002357918587, 'Kcb': 1.00369077858893, 'HI0': 0.5060814417333918, 'a_HI': 8.17408672067139, 'Zmax': 1.7892230162066871}"
19,7,Yield,2.376390020986665,3.4390235875286006,-0.6627950721969014,0.3887034784864288,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 54.5849609445023, 'SMT3': 64.90264506287886, 'SMT4': 46.65136132971288, 'CCx': 0.9616176274134304, 'WP': 33.57002357918587, 'Kcb': 1.00369077858893, 'HI0': 0.5060814417333918, 'a_HI': 8.17408672067139, 'Zmax': 1.7892230162066871}"
20,7,ET,62.41745371468726,78.47531192717152,-0.8290165503595794,-0.015138409186723519,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 54.5849609445023, 'SMT3': 64.90264506287886, 'SMT4': 46.65136132971288, 'CCx': 0.9616176274134304, 'WP': 33.57002357918587, 'Kcb': 1.00369077858893, 'HI0': 0.5060814417333918, 'a_HI': 8.17408672067139, 'Zmax': 1.7892230162066871}"
21,8,Irrigation,99.78855227358426,138.55125600061726,-0.6347708960522551,0.4015991568026342,withoutET_full_data,"{'SMT1': 30.062783159876204, 'SMT2': 50.902365106970066, 'SMT3': 54.55103083514037, 'SMT4': 40.868595194093366, 'CCx': 0.9731533121920772, 'WP': 30.90684038937545, 'Kcb': 1.0, 'HI0': 0.5428471595496281, 'a_HI': 9.206602412825797, 'Zmax': 1.7856070390252952}"
22,8,Yield,2.122422630855347,3.122086603032747,-0.3704345878312614,0.3488526770692303,withoutET_full_data,"{'SMT1': 30.062783159876204, 'SMT2': 50.902365106970066, 'SMT3': 54.55103083514037, 'SMT4': 40.868595194093366, 'CCx': 0.9731533121920772, 'WP': 30.90684038937545, 'Kcb': 1.0, 'HI0': 0.5428471595496281, 'a_HI': 9.206602412825797, 'Zmax': 1.7856070390252952}"
23,8,ET,65.09905076879708,81.52033448147068,-0.9737104472528801,-0.15064668840212078,withoutET_full_data,"{'SMT1': 30.062783159876204, 'SMT2': 50.902365106970066, 'SMT3': 54.55103083514037, 'SMT4': 40.868595194093366, 'CCx': 0.9731533121920772, 'WP': 30.90684038937545, 'Kcb': 1.0, 'HI0': 0.5428471595496281, 'a_HI': 9.206602412825797, 'Zmax': 1.7856070390252952}"
24,9,Irrigation,90.10295828728312,123.1823127967919,-0.2922087303013401,0.47588493839224577,withoutET_full_data,"{'SMT1': 31.77506272744941, 'SMT2': 64.63653877636237, 'SMT3': 52.70345531410464, 'SMT4': 40.51014695379114, 'CCx': 0.967941770734217, 'WP': 30.24819896207816, 'Kcb': 1.0, 'HI0': 0.5479260968677332, 'a_HI': 1.252989157090598, 'Zmax': 2.3043682678444863}"
25,9,Yield,2.121368992005829,3.2009157690227745,-0.44051210333400803,0.40466521117629367,withoutET_full_data,"{'SMT1': 31.77506272744941, 'SMT2': 64.63653877636237, 'SMT3': 52.70345531410464, 'SMT4': 40.51014695379114, 'CCx': 0.967941770734217, 'WP': 30.24819896207816, 'Kcb': 1.0, 'HI0': 0.5479260968677332, 'a_HI': 1.252989157090598, 'Zmax': 2.3043682678444863}"
26,9,ET,67.57259717854177,83.81487788557567,-1.0863817118956036,-0.08872920412475346,withoutET_full_data,"{'SMT1': 31.77506272744941, 'SMT2': 64.63653877636237, 'SMT3': 52.70345531410464, 'SMT4': 40.51014695379114, 'CCx': 0.967941770734217, 'WP': 30.24819896207816, 'Kcb': 1.0, 'HI0': 0.5479260968677332, 'a_HI': 1.252989157090598, 'Zmax': 2.3043682678444863}"
27,10,Irrigation,96.82097563819738,132.00361225665603,-0.4839101130564307,0.47387834628778897,withoutET_full_data,"{'SMT1': 32.021801936406455, 'SMT2': 52.87602507198276, 'SMT3': 57.06078252256799, 'SMT4': 47.503985761006554, 'CCx': 0.9306240434969985, 'WP': 32.39302336209163, 'Kcb': 1.0000016371049385, 'HI0': 0.540412584241954, 'a_HI': 0.7685749245479494, 'Zmax': 2.429730479964613}"
